genre,artist,title,lyrics,year,valence,arousal,dominance,coverage,emotion_label
hard-rock,Iron Maiden,The Trooper,"You'll take my life, but I'll take yours too You'll fire your musket, but I'll run you through So when you're waiting for the next attack You'd better stand, there's no turning back The bugle sounds, the charge begins But on this battlefield, no one wins The smell of acrid smoke and horse's breath As I plunge on into certain death Oh-oh-oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh-oh-oh The horse, he sweats with fear, we break to run The mighty roar of the Russian guns And as we race towards the human wall The screams of pain as my comrades fall We hurdle bodies that lay on the ground And the Russians fire another round We get so near, yet so far away We won't live to fight another day Oh-oh-oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh-oh-oh We get so close, near enough to fight When a Russian gets me in his sights He pulls the trigger and I feel the blow A burst of rounds takes my horse below And as I lay there, gazing at the sky My body's numb and my throat is dry And as I lay forgotten and alone Without a tear, I draw my parting groan Oh-oh-oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh-oh-oh",1983,-0.007277777777777776,0.0628174603174603,0.03369841269841269,0.5206611570247934,angry
hard-rock,Iron Maiden,Wasted Years,"From the coast of gold, across the seven seas I'm travelin' on, far and wide But now it seems, I'm just a stranger to myself And all the things I sometimes do, it isn't me but someone else I close my eyes and think of home Another city goes by in the night Ain't it funny how it is? You never miss it till it's gone away And my heart is lying there and will be till my dying day So, understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years Too much time on my hands, I got you on my mind Can't ease this pain, so easily When you can't find the words to say, it's hard to make it through another day And it makes me wanna cry, and throw my hands up to the sky So, understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So, understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years So, understand Don't waste your time always searching for those wasted years Face up, make your stand And realize you're living in the golden years",1986,0.11879761904761904,-0.06314880952380954,0.023071428571428573,0.7368421052631579,sad
hard-rock,AC/DC,TNT,"Oi, oi, oi, oi Oi, oi, oi, oi Oi, oi, oi, oi Oi, oi, oi See me ride out of the sunset On your colour TV screen Out for all that I can get If you know what I mean Women to the left of me And women to the right Ain't got no gun, ain't got no knife Don't you start no fight 'Cause I'm T.N.T., I'm dynamite T.N.T., and I'll win the fight T.N.T., I'm a power load T.N.T., watch me explode I'm dirty, mean, I'm mighty unclean I'm a wanted man Public enemy number one Understand? So lock up your daughter, lock up your wife Lock up your back door and run for your life The man is back in town So don't you mess me 'round 'Cause I'm T.N.T., I'm dynamite T.N.T., and I'll win the fight T.N.T., I'm a power load T.N.T., watch me explode T.N.T. Oi, oi, oi T.N.T. Oi, oi, oi T.N.T. Oi, oi, oi T.N.T. Oi, oi, oi T.N.T. Oi, oi, oi, I'm dynamite T.N.T. Oi, oi, oi, and I'll win the fight T.N.T. Oi, oi, oi, I'm a power load T.N.T., watch me explode",1976,0.08152808988764047,0.13642696629213483,0.17419101123595507,0.39555555555555555,angry
hard-rock,Five Finger Death Punch,Never Enough,"I'm so fed up with everyone around me No one seems to care I'm just so far gone and nothing's gonna change I'll never be the same It's always, Do this, Do that, everything they want to I don't want to live that way No! Every chance they get, they're always Pushing me away It's never enough; no, it's never enough No matter what I say It's never enough; no, it's never enough I'll never be what you want me to be It's all so messed up and no one ever listens Everyone's deranged I'm just so fucked up and I'm never gonna change I wanna lay it all to waste They're always, Say this, Say that, nothing that you want to I don't want to live that way No! Every chance they get, they’re always Shoving me aside It's never enough; no, it's never enough No matter what I say It's never enough; no, it's never enough I'll never be what you want me to be I'm done! I'm done, I'm done, I'm done, I'm done, I'm done, I'm done In the end, we're all just chalk lines on the concrete Drawn only to be washed away For the time that I've been given I am what I am I'd rather hate you for everything you are Than ever love you for something you are not I'd rather you hate me for everything I am Than have you love me for something that I can't It's never enough, it's never enough No matter what I say It's never enough; no, it's never enough No matter who I try to be It's never enough; no, it's never enough No matter how I try to change It's never enough, never, never enough I'll never be what you want me to be",2008,0.0023670212765957415,-0.07918617021276596,-0.03267021276595746,0.6245847176079734,sad
hard-rock,Three Days Grace,Just Like You,I could be mean I could be angry You know I could be just like you I could be fake I could be stupid You know I could be just like you You thought you were standing beside me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you I could be cold I could be ruthless You know I could be just like you I could be weak I could be senseless You know I could be just like you You thought you were standing beside me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you On my own 'Cause I can't take living with you I'm alone So I won't turn out like you want me to You thought you were standing beside me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you Just like you You thought you were there to guide me You were only in my way You're wrong if you think that I'll be just like you I could be mean I could be angry You know I could be just like you,2004,0.1574714285714286,-0.1692904761904762,0.04933809523809523,0.6140350877192983,relaxed
hard-rock,AC/DC,Hells Bells,"I'm a rollin' thunder, pourin' rain I'm comin' on like a hurricane White lightning's flashin' across the sky You're only young, but you're gonna die I won't take no prisoners, won't spare no lives Nobody's puttin' up a fight I got my bell, I'm gonna take you to Hell I'm gonna get you, Satan get you Oh, Hell's bells Yeah, Hell's bells You got me ringin' Hell's bells My temperature's high, Hell's bells I'll give you black sensations up and down your spine If you're into evil, you're a friend of mine See my white light flashin' as I split the night 'Cause if good's on the left, then I'm stickin' to the right I won't take no prisoners, won't spare no lives Nobody's puttin' up a fight I got my bell, I'm gonna take you to Hell I'm gonna get you, Satan get you Hell's bells Oh, Hell's bells You got me ringin' Hell's bells My temperature's high, Hell's bells Yow Hell's bells, Satan's comin' to you Hell's bells, he's ringin' them now Those Hell's bells, the temperature's high Hell's bells, across the sky Hell's bells, they're takin' you down Hell's bells, they're draggin' you under Hell's bells, gonna split the night Hell's bells, there's no way to fight, yeah Ow Ow, ow Ow, yes Hell's bells",1980,0.08496428571428571,0.14415476190476192,0.014380952380952387,0.3853211009174312,angry
hard-rock,Fozzy,Judas,"I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming You are beautiful on the inside You are innocence personified And I will drag you down and sell you out Run away I am cold like December snow I have carved out this soul made of stone And I will drag you down and sell you out Embraced by the darkness, I'm losing the light Encircled by demons, I fight What have I become? Now that I've betrayed Everyone I've ever loved, I pushed them all away And I have been a slave to the Judas in my mind Is there something left of me to save In the wreckage of my life? My life I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind Judas in my mind Oh, this guilt is a heavy cross There is blood on the path I walk And each step I take is haunting me Embraced by the darkness, I'm losing the light Encircled by demons, I fight What have I become? Now that I've betrayed Everyone I've ever loved, I pushed them all away And I have been a slave to the Judas in my mind Is there something left of me to save In the wreckage of my life? My life I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind Judas in my mind Judas in my mind What have I become? Now that I've betrayed Everyone I've ever loved, I pushed them all away And I have been a slave to the Judas in my mind Is there something left of me to save In the wreckage of my life? My life I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind I'm become, I'm become, I'm becoming I'm become, I'm become, I'm becoming Judas in, Judas in my mind Judas in my mind",2017,0.10167914438502676,-0.009160427807486627,0.07373796791443848,0.5095367847411444,angry
hard-rock,Bon Jovi,Livin on a Prayer,"Once upon a time, not so long ago Tommy used to work on the docks Union's been on strike, he's down on his luck It's tough So tough Gina works the diner all day Workin' for her man, she brings home her pay For love Mm, for love She says, We've gotta hold on to what we've got It doesn't make a difference if we make it or not We've got each other and that's a lot for love We'll give it a shot Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand, we'll make it, I swear Woah-oh, livin' on a prayer Tommy's got his six-string in hock Now he's holdin' in, when he used to make it talk So tough Ooh, it's tough Gina dreams of runnin' away When she cries in the night, Tommy whispers Baby, it's okay Someday We've gotta hold on to what we've got It doesn't make a difference if we make it or not We've got each other and that's a lot for love We'll give it a shot Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand, we'll make it, I swear Woah-oh, livin' on a prayer, livin' on a prayer Ooh, we gotta hold on, ready or not You live for the fight when that's all that you've got Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer Woah, we're halfway there Woah-oh, livin' on a prayer Take my hand and we'll make it, I swear Woah-oh, livin' on a prayer",1986,0.1217445652173913,-0.07327717391304346,-0.0036467391304347827,0.6052631578947368,sad
hard-rock,Breaking Benjamin,Red Cold River,"Days reborn Fight with folded hands Pain left below The lifeless live again Run, run, run Red cold river Run, run, run Red cold river I can't feel anything at all This life has left me cold and damned I can't feel anything at all This love has led me to the end Stay reformed Erase this perfect world Hate left below The dark stray dog of war Run, run, run Red cold river Run, run, run Red cold river I can't feel anything at all This life has left me cold and damned I can't feel anything at all This love has led me to the end Try to find a reason to live Try to find a reason to live Try to find a reason to live No! I can't feel anything at all This life has left me cold and damned I can't feel anything at all This love has led me to the end",2018,0.047336065573770486,0.10199180327868854,0.06268032786885246,0.7721518987341772,angry
hard-rock,Led Zeppelin,Whole Lotta Love,"Aha You need coolin' Baby, I'm not foolin' I'm gonna send ya Back to schoolin' Way down inside Honey, you need it I'm gonna give you my love I'm gonna give you my love Oh, wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love You've been learnin' Baby, I been learnin' All the good times Baby, baby, I've been yearning Way, way down inside Uh, honey, you need it I'm gonna give you my love, uh I'm gonna give you my love, uh Oh, whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Ah, ah, ah Ah, ah, ah Ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah No, no, no, no Ah Love Love You've been coolin' Baby, I've been droolin' All the good times Baby, I've been misusin' Way, way down inside I'm gonna give you my love I'm gonna give you every inch of my love I'm gonna give you my love Oh Yeah, alright, let's go Ah Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Wanna whole lotta love Way down inside Woman You need Love My, my, my, my My, my, my, my, oh Shake for me, girl I wanna be your backdoor man Hey, oh Hey, oh Hey, oh Ooh, oh Oh, oh, oh, oh Ooh, my, my baby Keep it coolin', baby I Keep it coolin', baby I Keep it coolin', baby I keep it coolin', baby Ah, ah-oh",1969,0.3382950819672131,-0.09681967213114752,-0.009745901639344261,0.45353159851301117,relaxed
